"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"D1","MMDL914T1G","D_SOD-123",27.8779,-47.4125,84.5,"top"
"D2","MMDL914T1G","D_SOD-123",25.7,-64.4338,84.5,"top"
"D3","MMDL914T1G","D_SOD-123",24.05,-81.4,84.5,"top"
"D4","MMDL914T1G","D_SOD-123",18.0767,-98.1193,84.5,"top"
"D5","MMDL914T1G","D_SOD-123",18.5,-118.75,174.5,"top"
"D7","MMDL914T1G","D_SOD-123",46.9528,-49.3032,83.75,"top"
"D8","MMDL914T1G","D_SOD-123",44.9,-66.3,83.75,"top"
"D9","MMDL914T1G","D_SOD-123",43.15,-83.2999,83.75,"top"
"D10","MMDL914T1G","D_SOD-123",41.3679,-100.298,83.75,"top"
"D11","MMDL914T1G","D_SOD-123",40.7,-121,174.5,"top"
"D13","MMDL914T1G","D_SOD-123",66.0077,-51.6399,83,"top"
"D14","MMDL914T1G","D_SOD-123",63.9237,-68.6124,83,"top"
"D15","MMDL914T1G","D_SOD-123",61.8398,-85.5849,83,"top"
"D16","MMDL914T1G","D_SOD-123",59.7558,-102.557,83,"top"
"D17","MMDL914T1G","D_SOD-123",62.75,-123,173,"top"
"D19","MMDL914T1G","D_SOD-123",84.5013,-53.9092,83.75,"top"
"D20","MMDL914T1G","D_SOD-123",82.6397,-70.9076,83.75,"top"
"D21","MMDL914T1G","D_SOD-123",80.6,-87.6,83.75,"top"
"D22","MMDL914T1G","D_SOD-123",78.8,-104.904,83.75,"top"
"D23","MMDL914T1G","D_SOD-123",77.0548,-121.903,83.75,"top"
"D25","MMDL914T1G","D_SOD-123",102.932,-55.165,84.5,"top"
"D26","MMDL914T1G","D_SOD-123",101.55,-71.25,84.5,"top"
"D27","MMDL914T1G","D_SOD-123",99.6538,-89.2076,84.5,"top"
"D28","MMDL914T1G","D_SOD-123",98.0148,-106.229,84.5,"top"
"D29","MMDL914T1G","D_SOD-123",97.049268,-122.177769,70,"top"
"D31","MMDL914T1G","D_SOD-123",122.15,-55.9,88.35,"top"
"D32","MMDL914T1G","D_SOD-123",120.4,-72.9,88.35,"top"
